"Scenario","VRE unit ID","Technology","Selection ","latitude","longitude","Capacity (MW)"
"1","132876","Solar PV",1.00000,35.08600,-118.27600,430.68265
"1","132875","Solar PV",1.00000,35.07400,-118.34000,33.12943
"1","141559","Solar PV",1.00000,34.55500,-116.95200,5168.19175
"1","134655","Solar PV",0.73964,34.89600,-118.48800,3809.88494
"1","135800","Solar PV",1.00000,34.74200,-118.77900,2882.26078
"1","141016","Solar PV",1.00000,34.67800,-116.51400,4406.21476
"1","140433","Solar PV",0.00000,34.57500,-117.43200,298.16491
"1","134052","Solar PV",0.00000,34.87400,-118.89000,66.25887
"1","131153","Solar PV",1.00000,35.34300,-117.67200,6526.49855
"1","135235","Solar PV",0.00000,34.79000,-118.79400,3312.94343
"1","129443","Solar PV",0.00000,35.44100,-117.97800,17492.34130
"1","142109","Solar PV",0.00000,34.49600,-117.00200,6095.81591
"1","135239","Solar PV",0.00000,35.00700,-117.56600,14875.11599
"1","141561","Solar PV",0.00000,34.56600,-116.88700,1921.50719
"1","139860","Solar PV",0.00000,34.66700,-117.18900,21997.94436
"1","134053","Solar PV",0.00000,34.94400,-118.50300,4439.34419
"1","134054","Solar PV",0.00000,34.99000,-118.24500,7056.56950
"1","105646","Solar PV",0.00000,37.54200,-118.67600,265.03547
"1","132877","Solar PV",0.00000,35.09700,-118.21100,6460.23969
"1","141566","Solar PV",0.00000,34.59800,-116.69300,2981.64909
"1","106203","Solar PV",0.00000,37.50600,-118.59300,331.29434
"1","132878","Solar PV",0.00000,35.09700,-118.21100,596.32982
"1","142114","Solar PV",0.00000,34.55000,-116.67900,1656.47171
"1","142112","Solar PV",0.00000,34.54000,-116.74400,33.12943
"1","141565","Solar PV",0.00000,34.59800,-116.69300,28557.57235
"1","127272","Solar PV",0.00000,35.67800,-117.77900,1225.78907
"1","130582","Solar PV",1.00000,35.40200,-117.62200,4141.17929
"1","141015","Solar PV",0.00000,34.66800,-116.57900,27033.61838
"1","138109","Solar PV",0.00000,34.76700,-117.49200,34222.70561
"1","131149","Solar PV",0.00000,35.28700,-117.99700,3147.29626
"1","136365","Solar PV",0.00000,34.91100,-117.53700,16001.51676
"1","135254","Solar PV",0.00000,35.13800,-116.78700,1060.14190
"1","135804","Solar PV",0.00000,34.95900,-117.55200,14709.46882
"1","141560","Solar PV",0.00000,34.55500,-116.95200,13417.42088
"1","132879","Solar PV",0.00000,35.10900,-118.14600,99.38830
"1","141007","Solar PV",0.00000,34.60300,-116.96600,1258.91850
"1","122399","Solar PV",0.00000,36.10900,-117.91700,8779.30009
"1","134661","Solar PV",0.00000,35.05500,-117.58200,2186.54266
"1","131125","Solar PV",0.00000,34.83300,-120.45200,3346.07286
"1","132308","Solar PV",0.00000,35.16800,-118.09700,10236.99519
"1","139855","Solar PV",0.00000,34.49900,-118.15500,1060.14190
"1","135808","Solar PV",0.00000,35.00300,-117.29200,22859.30966
"1","140436","Solar PV",0.00000,34.60800,-117.23900,28789.47839
"1","136936","Solar PV",0.00000,34.75100,-118.16800,430.68265
"1","141568","Solar PV",0.00000,34.62000,-116.56400,25045.85232
"1","141004","Solar PV",0.00000,34.53800,-117.35300,3776.75551
"1","131732","Solar PV",1.00000,35.29500,-117.65700,132.51774
"1","134651","Solar PV",0.00000,34.83800,-118.81000,132.51774
"1","145282","Solar PV",0.00000,34.12000,-117.42800,1093.27133
"1","150913","Solar PV",0.05498,33.58000,-117.33100,9309.37103
"1","140432","Solar PV",0.00000,34.44000,-118.20400,5565.74496
"1","126219","Solar PV",0.00000,35.66000,-118.46300,2385.31927
"1","139278","Solar PV",0.00000,34.72600,-117.13900,30015.26746
"1","138700","Solar PV",0.00000,34.80700,-116.96000,3147.29626
"1","103932","Solar PV",0.00000,37.71900,-118.52400,1689.60115
"1","140435","Solar PV",0.00000,34.59700,-117.30300,132.51774
"1","134656","Solar PV",0.00000,34.94200,-118.22900,1822.11889
"1","135814","Solar PV",0.00000,35.05800,-116.96800,18685.00094
"1","133457","Solar PV",0.00000,34.93400,-118.84200,27530.55989
"1","156040","Solar PV",0.00000,33.18500,-116.68000,430.68265
"1","103930","Solar PV",0.00000,37.69600,-118.65800,430.68265
"1","127271","Solar PV",0.00000,35.66700,-117.84400,10601.41897
"1","161279","Solar PV",0.00000,32.65300,-116.52700,5764.52157
"1","124580","Solar PV",0.00000,35.36600,-120.85100,5234.45062
"1","125696","Solar PV",0.00000,35.71900,-118.41400,66.25887
"1","148845","Solar PV",0.00000,33.77300,-117.38900,22594.27418
"1","105648","Solar PV",0.00000,37.56500,-118.54200,3975.53211
"1","142659","Solar PV",0.00000,34.47000,-116.85800,430.68265
"1","161776","Solar PV",0.42307,32.59400,-116.57600,7354.73441
"1","139852","Solar PV",0.00000,34.46500,-118.34800,4273.69702
"1","128893","Solar PV",0.00000,35.48900,-117.99400,12787.96163
"1","149880","Solar PV",0.00000,33.68700,-117.29600,1093.27133
"1","161280","Solar PV",0.00000,32.66400,-116.46400,4836.89741
"1","135801","Solar PV",0.00000,34.75400,-118.71400,5333.83892
"1","136934","Solar PV",0.00000,34.43000,-119.90100,927.62416
"1","161782","Solar PV",0.00000,32.65700,-116.19900,1855.24832
"1","128324","Solar PV",0.00000,35.19500,-119.89200,66.25887
"1","127790","Solar PV",0.00000,35.27900,-119.71500,2716.61361
"1","139850","Solar PV",0.00000,34.41900,-118.60500,13649.32692
"1","135236","Solar PV",0.00000,34.80200,-118.73000,27199.26555
"1","87121","Solar PV",0.00000,38.88200,-119.94700,927.62416
"1","151931","Solar PV",1.00000,33.47300,-117.36500,1292.04794
"1","139268","Solar PV",0.00000,34.52500,-118.29900,12887.34994
"1","96933","Solar PV",0.00000,37.74600,-121.68100,3114.16682
"1","124614","Solar PV",0.00000,35.90600,-117.92100,6460.23969
"1","127270","Solar PV",0.00000,35.65600,-117.90900,33.12943
"1","159845","Solar PV",1.00000,32.76600,-116.75700,2120.28379
"1","143738","Solar PV",0.00000,34.26500,-117.47200,662.58869
"1","146833","Solar PV",0.00000,34.02000,-117.12800,132.51774
"1","93327","Solar PV",0.00000,38.01600,-121.86000,5333.83892
"1","149362","Solar PV",0.00000,33.73500,-117.31100,14742.59826
"1","96330","Solar PV",0.00000,37.80600,-121.63300,47242.57329
"1","139264","Solar PV",0.00000,34.46700,-118.62000,463.81208
"1","149885","Solar PV",0.00000,33.74200,-116.97700,2584.09587
"1","139861","Solar PV",0.00000,34.67800,-117.12400,25178.37006
"1","147338","Solar PV",0.00000,33.89500,-117.56100,1358.30681
"1","99270","Solar PV",0.00000,37.43800,-122.20500,132.51774
"1","125672","Solar PV",0.00000,35.38400,-120.23500,11297.13709
"1","128328","Solar PV",0.00000,35.28000,-119.43900,8746.17065
"1","139874","Solar PV",0.00000,35.01900,-114.98200,231.90604
"1","152308","Wind",1.00000,33.91900,-116.82900,1300.29960
"1","139196","Wind",1.00000,34.79000,-118.79400,4266.47823
"1","138624","Wind",1.00000,34.85000,-118.74600,2932.94414
"1","138049","Wind",1.00000,34.94400,-118.50300,11.42436
"1","61547","Wind",1.00000,40.41300,-124.35700,522.40471
"1","138625","Wind",1.00000,34.86100,-118.68100,1621.22019
"1","139197","Wind",0.41644,34.80200,-118.73000,4222.85796
"1","139762","Wind",1.00000,34.74200,-118.77900,3385.76413
"1","139195","Wind",0.43827,34.77800,-118.85900,1330.41836
"1","136900","Wind",0.00000,35.06300,-118.40500,2272.40856
"1","62665","Wind",1.00000,40.34900,-124.17700,742.58324
"1","138048","Wind",0.00000,34.93200,-118.56800,777.89489
"1","138626","Wind",1.00000,34.87300,-118.61700,128.78367
"1","138047","Wind",1.00000,34.92100,-118.63200,1294.06813
"1","137447","Wind",1.00000,34.59200,-120.64000,38.42738
"1","62117","Wind",1.00000,40.39500,-124.19800,819.43801
"1","94756","Wind",1.00000,38.13700,-121.76300,7627.31649
"1","62116","Wind",1.00000,40.38100,-124.26700,967.95465
"1","95340","Wind",1.00000,38.08900,-121.74500,3487.54477
"1","77526","Wind",1.00000,39.74100,-120.78700,100.74206
"1","78162","Wind",1.00000,39.70600,-120.70000,206.67701
"1","94168","Wind",0.25069,38.18400,-121.78200,7058.17578
"1","139761","Wind",0.00000,34.73000,-118.84300,991.84195
"1","82575","Wind",1.00000,39.47500,-120.02200,495.40168
"1","132853","Wind",0.00000,35.46700,-118.12400,2164.39646
"1","80070","Wind",1.00000,39.59000,-120.50700,2176.85939
"1","60982","Wind",0.00000,40.46000,-124.37800,518.25040
"1","60983","Wind",0.00000,40.47400,-124.30900,1663.80188
"1","81969","Wind",1.00000,39.46000,-120.38400,138.13087
"1","86793","Wind",1.00000,39.08200,-120.24000,20.77156
"1","132854","Wind",0.00000,35.47800,-118.05900,2716.91993
"1","81336","Wind",1.00000,39.50800,-120.40200,1788.43124
"1","76298","Wind",0.00000,39.82200,-120.89300,32.19592
"1","75099","Wind",1.00000,40.03000,-120.30700,2075.07875
"1","105903","Wind",0.41189,37.68500,-119.01100,244.06582
"1","95339","Wind",0.00000,38.07600,-121.81200,4278.94117
"1","136901","Wind",0.00000,35.07400,-118.34000,255.49018
"1","79432","Wind",0.00000,39.63700,-120.52500,1716.76936
"1","94755","Wind",0.00000,38.12300,-121.83000,8312.77794
"1","94757","Wind",0.00000,38.15000,-121.69600,159.94100
"1","93592","Wind",1.00000,38.16500,-122.13600,28.04160
"1","62667","Wind",0.00000,40.37700,-124.03900,896.29277
"1","81968","Wind",0.85544,39.44800,-120.45300,686.50003
"1","63217","Wind",0.00000,40.31600,-124.08700,669.88278
"1","95341","Wind",0.00000,38.10300,-121.67800,199.40697
"1","63220","Wind",1.00000,40.35900,-123.88000,1374.03863
"1","80699","Wind",0.00000,39.54200,-120.48900,2451.04397
"1","93596","Wind",0.00000,38.23100,-121.80100,7577.46475
"1","94167","Wind",0.00000,38.17100,-121.84900,8275.38914
"1","139775","Wind",0.00000,35.05800,-116.96800,6.23147
"1","139778","Wind",1.00000,35.35700,-115.07600,2098.96605
"1","75713","Wind",0.00000,39.98200,-120.28900,1594.21716
"1","70867","Wind",0.00000,40.31000,-120.71400,2162.31930
"1","62666","Wind",0.00000,40.36300,-124.10800,729.08172
"1","94165","Wind",0.00000,38.11800,-122.11700,1673.14908
"1","68495","Wind",0.91539,40.49900,-120.78800,3223.74597
"1","80700","Wind",0.00000,39.55500,-120.42000,2096.88889
"1","132274","Wind",0.00000,35.51500,-118.14000,1254.60217
"1","140343","Wind",1.00000,35.30900,-115.06200,140.20802
"1","94169","Wind",0.00000,38.19700,-121.71500,475.66870
"1","80654","Wind",1.00000,38.91800,-123.69200,186.94403
"1","139185","Wind",0.00000,34.48700,-120.39800,1631.60597
"1","138046","Wind",0.00000,34.90900,-118.69700,1707.42216
"1","81970","Wind",0.00000,39.47300,-120.31500,2397.03792
"1","93597","Wind",0.00000,38.24400,-121.73400,3018.10753
"1","66740","Wind",1.00000,40.56400,-121.26300,158.90243
"1","93008","Wind",0.00000,38.26500,-121.88700,2872.70662
"1","93009","Wind",0.00000,38.27800,-121.82000,4586.36025
"1","63780","Wind",1.00000,40.31200,-123.85900,1299.26102
"1","93595","Wind",0.00000,38.21800,-121.86800,7328.20604
"1","68496","Wind",0.00000,40.51100,-120.71800,3115.73386
"1","81967","Wind",0.00000,39.43500,-120.52100,445.54994
"1","64356","Wind",0.00000,40.23700,-123.97600,1067.65814
"1","138631","Wind",0.00000,35.16400,-116.93200,153.70954
"1","99419","Wind",0.00000,37.75900,-121.61500,5180.42684
"1","82571","Wind",0.00000,39.42500,-120.29700,893.17704
"1","83752","Wind",0.00000,39.31900,-120.33000,866.17401
"1","67334","Wind",0.00000,40.70500,-120.19600,3867.66430
"1","93010","Wind",0.00000,38.29100,-121.75200,2131.16196
"1","76904","Wind",0.00000,39.77500,-120.87500,1300.29960
"1","68456","Wind",1.00000,39.89600,-123.89900,420.62407
"1","60984","Wind",0.00000,40.48900,-124.24000,1384.42441
"1","62668","Wind",0.00000,40.39100,-123.97000,1326.26405
"1","138033","Wind",0.00000,34.55700,-120.56000,263.79880
"1","140913","Wind",1.00000,35.26000,-115.04900,17.65583
"1","78797","Wind",0.00000,39.67100,-120.61300,2604.75351
"1","139763","Wind",0.00000,34.75400,-118.71400,2235.01976
"1","84343","Wind",0.00000,39.27100,-120.31200,86.20197
"1","81335","Wind",0.00000,39.49500,-120.47100,2156.08783
"1","76905","Wind",0.00000,39.78800,-120.80600,662.61273
"1","64357","Wind",0.00000,40.25100,-123.90700,1352.22850
"1","98821","Wind",0.00000,37.79300,-121.70000,4270.63255
"1","71466","Wind",0.00000,40.27500,-120.62600,2428.19526
"1","62118","Wind",0.00000,40.41000,-124.12900,459.05146
"1","138633","Wind",0.00000,35.18600,-116.80200,1957.71944
"1","93035","Wind",0.00000,38.69400,-119.58700,1871.51747
"1","71474","Wind",0.00000,40.37500,-120.06800,4060.83980
"1","138053","Wind",0.00000,35.23400,-116.81600,3788.73238
"1","96501","Wind",0.00000,37.95600,-121.90800,133.97656
"1","101213","Wind",0.00000,38.05400,-119.21200,209.79275
